"ANIO","CCDD","CCPP","CCDI","CONGLOMERADO","NSELUA","UA","Plaguicidas","Fertilizantes","GastoInsumos","Credito","Riego","sup_sembrada_ha","Produccion_t","Rendimiento","tamanoUA","GastoJornal","CantJornaleros","JornalPC","GastoMaq"
2019,"10","01","08","10166","00025","4",1,1,1983,0,1,1.32,7.58,22.969696969697,3,1120,22,50.9090909090909,180
2019,"10","01","08","10166","00048","5",0,1,496,0,1,0.33,1.68,15.5151515151515,1,320,8,40,0
2019,"10","01","08","10166","00056","6",1,1,6585,1,1,2.145,14.55,30.4545454545455,3,700,4,175,230
2019,"10","01","08","10166","00065","7",1,1,1514,0,1,1,6.18,15.24,4,960,24,40,0
2019,"10","01","08","10166","00076","8",1,1,2835,1,1,0.825,9.36,20.3636363636364,3,1320,8,165,145
2019,"10","01","08","10166","00088","9",0,0,507,0,1,0.5775,5.27,40.2424242424242,2,320,8,40,0
2019,"10","01","08","10166","00094","10",0,1,260,0,1,0.165,0.92,5.57575757575758,2,80,3,26.6666666666667,0
2019,"10","01","08","10166","00105","11",1,1,1516,0,1,1,3.86,15.44,4,360,9,40,0
2019,"10","01","08","10166","00107","12",0,0,320,0,0,0.25,1.6,6.4,1,0,0,0,0
2019,"10","01","08","10166","00117","13",1,1,2580,0,0,1,9.8,19.6,3,240,6,40,0
2019,"10","01","08","10166","00131","14",0,0,400,0,0,0.5,1,2,4,120,4,30,0
2019,"10","01","09","10066","00001","1",1,1,119,0,1,0.11,0.278,14.825,1,80,2,40,60
2019,"10","01","09","10066","00013","2",1,1,765,1,1,0.2,2.2635,42.3,2,400,3,133.333333333333,120
2019,"10","01","09","10066","00020","3",0,0,263,0,1,0.25,1.5,6,2,100,1,100,0
2019,"10","01","09","10066","00031","4",1,1,144,0,1,0.24,0.41,22,1,100,2,50,120
2019,"10","01","09","10066","00039","5",1,1,378,0,1,0.5,1.315,20.82,2,250,3,83.3333333333333,180
2019,"10","01","09","10066","00041","6",1,1,227,0,1,0.09,0.542,24.2,2,60,2,30,120
2019,"10","01","09","10066","00049","7",1,1,330,0,1,0.09,1.1,39.6,1,250,3,83.3333333333333,75
2019,"10","01","09","10066","00059","8",1,1,461,0,1,0.21,1.544,47.83,3,250,2,125,120
2019,"10","01","09","10066","00061","9",0,0,34,0,1,0.07,0.19,15.5,2,150,3,50,150
2019,"10","01","09","10066","00069","10",1,1,755,0,1,0.14,1.97,26.5,1,100,1,100,100
2019,"10","01","09","10066","00080","11",0,1,7,0,1,0,0.102,22,2,400,5,80,200
2019,"10","01","09","10066","00087","12",1,1,1087,0,1,0.321,3.577,24.96,1,100,2,50,60
2019,"10","01","09","10066","00101","13",0,0,181,1,0,0.61,1.26,23.9,3,300,4,75,418
2019,"10","01","09","10066","00110","14",1,1,266,0,1,0.09,2.593,65.0857142857143,3,100,2,50,120
2019,"10","01","09","10071","00003","1",1,1,197,0,1,0.629,0.87575,51.25,2,0,0,0,70
2019,"10","01","09","10071","00014","2",1,1,785,0,1,0.423,5.9475,98.2816666666667,2,1040,15,69.3333333333333,32
2019,"10","01","09","10071","00017","3",0,0,16,0,1,0.06,0.1905,20.9166666666667,1,0,0,0,15
2019,"10","01","09","10071","00030","4",0,0,108,0,1,0.447,0.53625,24.835,1,0,0,0,0
2019,"10","01","09","10071","00035","5",1,0,87,0,1,0.364,0.8735,73.7733333333333,2,0,0,0,70
2019,"10","01","09","10071","00044","6",1,1,471,0,1,1.017,2,38.5666666666667,2,520,12,43.3333333333333,30
2019,"10","01","09","10071","00049","7",0,0,113,0,1,0.285,0.325,12.5416666666667,1,0,0,0,0
2019,"10","01","09","10071","00062","8",1,0,157,0,1,0.348,0.7855,44.9180107526882,1,0,0,0,55
2019,"10","01","09","10071","00064","9",1,1,182,0,1,0.116,0.52,38.0833333333333,1,0,0,0,0
