Date,Open,High,Low,Close,Adj Close,Volume
2021-12-23,568.960022,572.570007,566.159973,569.619995,569.619995,2147700
2021-12-27,575.039978,580.880005,572.090027,577.679993,577.679993,1980100
2021-12-28,582.840027,582.880005,568.349976,569.359985,569.359985,2107800
2021-12-29,573.330017,576.960022,562.780029,569.289978,569.289978,2484200
2021-12-30,570.570007,578.989990,566.039978,570.530029,570.530029,1564600
2021-12-31,570.000000,570.169983,565.070007,567.059998,567.059998,1581400
2022-01-03,566.650024,575.000000,553.270020,564.369995,564.369995,2862700
2022-01-04,563.900024,564.299988,541.309998,554.000000,554.000000,4344800
2022-01-05,535.000000,538.750000,514.000000,514.429993,514.429993,7394800
2022-01-06,510.000000,526.309998,508.200012,514.119995,514.119995,3913600
2022-01-07,513.659973,520.419983,504.000000,510.700012,510.700012,3605400
2022-01-10,500.000000,526.580017,497.010010,525.830017,525.830017,5429700
2022-01-11,525.549988,535.179993,520.979980,529.890015,529.890015,3422200
2022-01-12,533.090027,541.590027,529.280029,532.369995,532.369995,2901800
2022-01-13,532.219971,535.270020,516.320007,516.900024,516.900024,3406500
2022-01-14,514.489990,522.570007,511.269989,520.599976,520.599976,2659800
2022-01-18,510.390015,519.390015,504.980011,513.340027,513.340027,3461000
2022-01-19,516.479980,528.919983,515.299988,516.580017,516.580017,2985900
2022-01-20,522.380005,532.030029,509.640015,510.850006,510.850006,3208100
2022-01-21,508.500000,513.859985,499.269989,499.910004,499.910004,4276100
2022-01-24,491.070007,520.429993,483.309998,519.659973,519.659973,7538000
2022-01-25,505.510010,514.260010,500.010010,502.720001,502.720001,4051500
2022-01-26,514.000000,520.489990,494.220001,500.809998,500.809998,4449500
2022-01-27,508.940002,513.229980,485.619995,493.049988,493.049988,5865400
2022-01-28,494.089996,519.000000,480.619995,518.159973,518.159973,4339000
2022-01-31,518.979980,534.940002,514.390015,534.299988,534.299988,3995100
2022-02-01,536.000000,538.770020,527.719971,535.979980,535.979980,2307400
2022-02-02,536.250000,540.460022,529.320007,533.090027,533.090027,2494100
2022-02-03,522.869995,525.179993,508.750000,510.829987,510.829987,3058700
